sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
10296,12597,24119,25656,37905,14080,36612,32999,59668,29443,54528,3873
4664,6197,18743,20024,36625,13056,31236,27367,61460,27139,61952,2849
49208,49717,63031,64824,53521,10752,35076,36071,58132,33283,51712,289
54839,58676,3639,4920,32529,10240,32516,41191,21,43011,57088,7713
20536,22837,34615,36408,42513,9984,37892,30183,63508,34307,59392,6433
24888,26933,39479,41016,43793,10496,36612,46823,55060,28163,52992,545
25400,26421,39735,41272,43025,9728,31748,43495,2069,31235,57600,4897
5176,7221,19511,20536,33041,9984,38660,34791,55060,41987,64256,1569
9528,9525,23351,24632,35089,12288,21764,39143,59924,30467,61440,4897
27192,34101,42295,43576,45329,14080,38916,38119,59668,32259,62720,64800
58167,60468,6967,7736,28433,12032,40708,38119,56596,40707,60928,1825
48183,51508,63542,63799,24081,10240,42244,44007,61716,29955,55808,4385
3896,6453,18743,19768,30993,9984,32772,42727,61972,30211,47616,65056
54071,57908,3895,4664,27409,10752,38404,37095,55316,35587,51968,2849
54327,57908,3895,5176,27665,10240,42756,41191,58388,39427,59648,1057
59447,62260,8759,9528,28945,10240,33284,40167,63764,36099,56576,65056
18232,20533,32567,33848,37649,10496,40452,47079,64276,43779,54016,60192
25400,27189,39735,40760,39697,12288,41732,47847,62996,29699,57088,50720
568,3125,15159,15928,29457,9728,47876,46311,61972,31491,58368,53280
26936,28981,41527,43064,40465,10240,37380,47079,59156,26883,59648,51232
4408,6453,19511,20024,32273,9728,33540,44007,57620,38403,51456,55072
55351,58164,5175,5176,25105,11008,39172,43495,52244,35587,57344,59424
6456,9013,21815,22328,32785,10240,36356,49383,55060,30211,54784,56096
47159,50740,62774,63031,22033,9472,33540,43751,56596,29443,55552,49440
56631,60212,6455,6968,27409,10496,30980,41703,51988,31747,58368,54048
32056,34869,46647,47928,42769,11008,32516,53991,58132,28419,56064,63008
19256,21557,34103,35384,38161,9728,34564,49895,48916,35843,46080,49184
20024,21813,34871,35640,39185,12544,34564,47591,57108,29187,55296,48416
23608,25909,38455,39992,41233,9728,35588,46311,47380,35075,50432,48672
25912,28725,40759,42040,42769,10496,26884,45799,50708,27139,54528,59936
29496,30773,43831,45112,40721,10240,30468,55271,43540,25859,58368,45856
50231,54324,55,312,25873,9984,34052,53991,46356,31491,49664,55584
39480,41781,54071,55608,46865,12288,32516,52967,45588,25347,60672,61472
55095,58676,4663,4920,28177,10240,29188,52199,43284,22787,56832,54816
59191,62516,8503,9528,27409,9984,29700,53991,38932,30211,47872,53536
13880,16181,28727,29496,36369,13824,28932,52711,42004,16899,58368,56352
24888,27445,39735,41016,39697,10496,29444,57831,39188,29187,41728,52000
26680,28725,41527,42552,39441,9472,35588,51431,34836,33539,53504,52768
28216,30005,43319,44344,40977,10240,25604,59367,32020,22787,39424,50464
5688,7733,20023,21304,31249,9472,20484,55015,31252,22019,45824,52000
47416,49205,61239,63544,48913,11008,28676,54503,34580,20739,46848,49696
64567,821,13367,14648,32529,12800,18436,63207,36628,16899,45824,42528
53047,56116,2615,3384,26129,9728,22020,58343,38676,19203,44800,43296
56119,57652,5431,6456,27665,9728,19972,64743,37908,18947,36096,39200
14648,15669,28983,30520,35857,9728,18948,59879,19988,17155,44032,46624
24120,24373,38199,39736,38417,9728,23812,1512,38420,12547,38400,48160
49975,50484,64822,65335,23825,8704,21764,56295,35860,9987,38912,41760
56887,61748,6199,6968,28433,12288,24068,64487,32020,6915,40448,48672
57399,59188,6455,7224,26641,10240,20740,1256,34580,9475,34816,39200
17720,18485,32567,33592,36369,9984,9220,61671,33044,515,37888,43552
59703,61492,9271,10040,27665,9984,11524,62183,42260,11779,42240,35872
62775,63796,12087,12856,26897,9728,10244,9192,32276,12547,38656,47904
3128,4917,18231,19256,30225,9984,11268,744,33812,11267,43008,42272
24632,25397,39223,40760,37649,10496,4612,59367,27156,4099,33536,33056
23608,24629,37687,39736,37137,10496,9732,1000,21012,4099,35840,39712
8248,9781,23095,24376,31761,10240,9476,744,24852,6659,43008,33824
43576,43061,57911,59704,45073,10496,10500,64487,35092,7427,37376,40480
60471,61748,9527,10296,26897,12288,8708,4840,33300,1795,35328,42528
30520,30773,45111,46392,39185,9984,2308,1768,23316,7939,35840,39456
56631,58420,6199,6712,24337,10240,4,62183,28436,62978,36352,45600
56631,58676,6711,7224,23569,10240,62211,744,20500,771,41728,44576
19256,20277,34103,35640,34833,10240,4356,4584,28948,1027,29952,43808
42808,42549,57143,58936,43281,9728,1284,4328,17940,2051,35584,42016
7224,7221,21559,22840,30737,13056,1540,59367,29972,7683,29440,50976
2872,4405,17719,19000,28689,10496,516,5864,25364,1795,39168,42272
28728,29493,43575,44856,37649,11008,63235,1256,24852,4355,40960,39968
35128,34869,49463,51256,38673,9728,3332,61159,25364,1283,38400,46624
58167,60468,7479,8760,24849,10496,65283,64743,26900,1283,32000,42016
15672,17205,30263,32056,29969,10496,1796,64487,25108,2563,34304,46624
58935,60212,7735,9272,21009,9728,64003,60391,24340,63490,31488,43296
15672,15925,30007,31800,29457,9984,62723,60391,27412,64258,30208,47392
28216,27701,41783,44344,33809,11008,56835,59879,23828,61698,44544,48160
