sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
41012,20786,2618,12857,60953,9728,1802,8962,23326,6916,14849,53792
17973,63538,48698,57913,20506,10752,59145,15874,21790,4356,18177,50976
41012,21298,2618,12345,60953,10240,65289,9986,28702,8196,15617,50976
15157,60466,45626,55097,18714,10752,59657,11010,26398,10500,20993,53280
1077,45618,30266,39481,10778,13568,56585,17410,18718,8964,19457,52256
59700,39474,22586,32313,7962,9984,61705,12034,22814,3332,18945,45856
15413,60210,46394,55609,19738,9728,59401,7170,22302,9732,6145,50208
24117,4147,56122,65081,23834,10240,60169,7426,16926,2052,19713,56352
42804,22322,4410,14393,62233,9728,56073,15618,22302,2052,18945,53536
13365,58930,43578,52793,17946,11520,52233,14082,29982,6148,12033,48160
11829,57650,42298,51513,15898,11520,49417,13058,23582,5124,8193,47904
42804,23858,4154,14137,61465,10496,47881,16386,26142,56579,3585,48672
16437,62258,47162,56377,19226,10752,44297,9218,26398,64771,14593,46880
18229,63538,49210,58681,19994,9728,51209,13058,25630,60931,23809,55072
18229,63794,49210,58425,21018,10752,40969,11266,28190,62979,22017,51744
1589,46386,31034,39993,10010,9472,46857,7682,27422,60163,9729,47392
64308,44594,27194,36921,8986,10752,38665,11266,23326,4868,27393,49696
17205,62770,47674,56889,19994,10496,31497,14082,31262,59907,17665,42784
43828,24114,4922,14905,63001,10240,38921,14850,26398,63747,17921,50208
16949,62770,47162,56633,19738,10752,36873,15106,27934,59139,7937,42784
48948,28722,10810,20793,64281,11520,31753,13058,29470,60419,18945,38944
52532,32562,14650,24377,26,12032,28681,13570,31774,64259,15361,48928
63028,43314,25914,35385,5914,9984,31753,3842,38942,63235,16897,39456
15413,61490,45370,55097,17178,11008,31497,7170,29982,61955,8705,41504
45876,26930,6714,16953,59929,9984,29961,18434,31774,52739,11009,44832
20533,1331,51770,61241,18714,9984,29705,12546,32798,64003,6657,51744
46644,27698,8250,18233,59673,9472,27657,7938,30238,58883,10753,40992
21557,2867,51770,61753,17434,11008,21769,12802,34590,54531,9473,50720
18997,51,49466,59449,16154,11008,23817,16130,35102,51459,12545,46624
55604,37938,17210,27961,64281,10496,24073,5890,39710,58371,12801,44832
31029,12339,62010,6714,22042,10496,21769,8962,34590,56067,2049,42784
21813,3123,52026,62265,15386,11008,24585,9218,41246,51459,5121,50720
54068,35890,15418,26425,61977,9728,20233,10242,42782,52995,24833,50464
20021,819,48954,59449,15386,12032,18185,1538,46622,52227,11009,52000
57652,39474,18746,29241,64793,10240,18185,14082,38174,59907,8449,48160
56372,37426,16954,27961,63513,9728,19721,9986,48414,53763,8449,55072
29493,11059,59450,4154,20250,10752,13321,6658,42526,51971,8705,48928
8501,55602,36666,47417,7194,10496,11785,3842,46622,55043,13313,48672
53044,34610,14138,24889,60953,10240,9993,12034,49950,46851,11009,50976
39477,20019,4923,14650,25626,11264,8713,10754,36894,52995,7169,52512
22837,3635,52282,62521,15386,10496,6665,5378,43550,53763,8705,49696
