sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
48938,58676,7991,17720,43545,11520,44558,33792,60700,17926,13826,37920
58154,3893,18999,29496,49177,10496,37390,30208,52508,21254,9218,29984
28458,32308,47414,57143,28697,9472,31502,33792,51484,15622,4098,41248
28714,31284,46390,55607,26649,13312,22798,23296,55324,11014,6658,31008
49706,56628,7223,16952,40729,9984,27150,32512,59676,15622,4610,41504
20266,19508,32822,42295,20249,10496,16910,30464,1053,9222,4610,25376
54314,59956,9783,19768,45081,10496,11278,29696,58908,9734,4610,31008
48426,49460,55,10040,39705,9216,3086,37632,60188,11782,8706,26912
35370,31540,46646,56631,29465,9216,9486,35328,58908,3846,3330,30752
33578,31028,35382,44343,28441,17920,4878,32512,58140,63749,12546,24352
32042,23604,37942,47671,24345,10240,65293,35072,61468,64261,2,18208
39210,28212,42294,52279,27161,10240,57101,43264,57628,60933,10498,24352
41770,28980,43062,53047,27161,9984,59149,43008,63004,62981,7170,24352
47658,30516,44342,54583,29977,10240,61709,41728,65052,58117,14338,25888
44074,23860,38454,48439,26137,12544,54285,44800,62236,58117,2562,24096
41770,18484,33078,42807,20761,10752,47629,39936,1053,518,13058,18720
45354,16948,31798,41527,21017,9728,58125,43520,4125,60421,6914,23072
50218,20020,34870,44599,20761,10496,47629,46080,4893,53253,9730,21024
6187,43828,59190,4152,33049,10496,52493,50432,4893,59909,13314,22560
18987,54836,5687,16184,40985,11776,49933,54528,9245,51205,6658,25632
5163,35892,52022,62263,30489,9472,52493,50432,14621,46597,13058,20512
20267,53044,3639,13880,40473,10752,48653,45056,8221,46853,13058,27424
11051,39476,54838,65335,33049,9728,45325,50432,8221,47621,4610,26144
63018,22580,37686,47415,26393,10752,40205,50176,797,53765,13826,25888
63274,21300,38198,47671,23321,9472,45325,54784,6173,54021,13314,20512
21291,47924,64566,9528,38937,9728,38925,47104,11549,51717,12802,26656
25387,49716,1079,11576,40217,11776,30477,43008,12061,53253,11266,30496
42795,3125,20535,31544,49177,9984,32269,50688,12317,55557,16130,26400
31787,53044,4407,15160,40985,10240,25357,42752,12317,50437,18434,33568
32811,54836,6967,17720,41241,10240,14093,50944,10525,41989,15874,27424
34347,58164,9527,21048,46617,10752,9997,55040,5405,45317,15874,20000
25643,45876,63286,9016,39961,9216,7437,58880,18973,34565,12034,26656
27947,47668,64822,11320,40217,9728,59916,56576,10781,34821,13826,29728
18475,34100,49974,62007,33049,13824,58380,2561,8477,26629,15618,24608
64298,10036,25654,37175,18457,10240,52236,60928,29,18181,24322,31008
13867,26164,43318,55607,29465,12800,49932,61440,9245,12805,13570,24096
22059,37428,53302,56,37145,10752,44300,58880,2589,13829,9218,23072
33067,48948,311,13112,46361,11264,38412,55296,3869,11525,13826,23840
38187,55348,6199,19512,49945,10752,37388,61184,5149,14085,11010,15136
42283,58932,10039,23096,50201,12544,40716,61696,5661,23557,19714,15904
11563,21556,37686,50231,29977,9728,40972,63232,3613,22789,8706,20512
13611,22580,39222,51767,28185,9728,47628,64768,3101,23813,11522,16416
55339,8245,26167,39224,60441,10496,50444,56320,3357,29957,11266,12576
7723,15412,32054,44343,26137,9728,57868,1025,2589,30981,17666,17696
11563,20020,36662,48951,28185,9728,3853,62976,5405,24581,5122,19744
47403,63284,16439,29496,53017,12032,525,4609,65052,30981,12290,15136
34859,47156,311,13112,44313,8960,5901,4353,63004,35333,15106,16672
7979,15156,33078,45367,25625,11264,3341,64000,64796,26373,20994,17184
27435,39220,55606,3128,40217,13568,12813,769,64796,36869,16130,8480
22059,32564,49206,61751,37145,9984,7181,59648,61212,30725,16898,14112
35883,48692,55,13112,44313,11008,12301,58880,60700,36357,16642,9760
42795,57396,7223,21304,47129,11520,13069,52992,65052,35077,11778,16416
37675,49460,55,13880,44313,12288,16909,58624,7453,31493,7938,20256
39467,53044,1591,15672,46105,10496,23821,56064,57116,42245,8194,20256
43051,56116,5687,20280,48409,10496,22797,49152,2845,45317,12034,18720
27435,36916,51254,64823,36889,10752,26125,51456,65052,45829,9218,16672
39467,50228,65334,14392,42777,11008,28941,50944,797,50437,8706,11296
15147,20020,33590,48439,28441,9984,43021,35584,65052,42757,15874,23072
35627,45364,59446,8760,44569,9984,45837,42496,60444,45317,15362,29472
30251,39220,53302,2616,43289,12800,28685,46080,56604,47365,8450,16416
41515,53556,2359,16952,49433,12288,24845,40448,53532,46341,7170,27424
38699,49716,63542,12600,48665,10240,34829,47360,58908,45829,17922,35104
27435,36916,51254,56,40729,9472,15629,42240,50204,37637,53506,25120
38443,50228,63542,13368,50457,11520,11789,37376,54556,38661,49409,5920
31787,44596,58678,7736,46361,10496,7949,30208,52508,26117,13058,31008
16427,27188,40758,54327,33817,10752,12557,27904,48924,46853,4098,17184
31531,49716,63798,12856,44569,10240,22029,36352,52252,38149,5634,34336
18731,34868,48438,62775,36633,10752,21517,46848,42780,37637,14338,30240
3371,17460,31286,45367,24857,10240,21005,44032,47132,41221,13058,23840
5931,20788,34102,47671,27417,10752,22797,35328,59164,48389,6402,21536
18731,35380,48950,63287,34841,10496,28685,39424,56348,46341,14338,23328
20523,37940,52790,1336,32281,9984,37389,35328,48668,51717,14850,17696
47915,4661,20279,35384,52505,10752,51469,26880,40476,57349,17922,19744
62250,9780,23862,37175,16921,10240,51213,37888,39196,47877,13058,14624
13099,30772,45622,59959,28185,9472,50701,44544,46364,57093,10498,17952
12331,32052,46390,60727,26393,10496,62989,40448,45596,5638,8194,12576
64298,15156,29238,43319,17433,10240,3854,43776,55580,61189,12802,5920
15403,35892,50742,65335,28185,9984,4110,40704,59676,62213,7682,14112
17707,39220,55350,4152,29209,9984,22542,38656,49692,58885,11522,13088
28459,53300,3127,17208,35353,12032,24590,37888,53276,61189,7170,5920
24107,47668,63286,11832,31513,10240,29198,41216,51484,58629,8706,8480
7979,28724,43830,57655,21017,10240,36366,41728,56348,1286,13826,12320
27179,52532,3383,17720,36889,9984,26894,46592,48668,1286,13314,13600
64042,18996,34870,48951,17945,9472,33550,46080,57116,12806,14082,15136
3115,24628,40502,54839,18969,9728,40974,41728,59932,6150,16642,23072
22827,50996,2103,17208,32537,9728,46094,30720,1565,9734,19458,19232
64554,26164,41014,55863,21273,10240,41742,36864,1821,15878,12034,25376
2091,28468,44086,59191,15897,9984,41742,34816,57116,12294,15618,29472
7211,35892,52278,1848,20505,9728,40462,33536,48412,3846,16386,24864
9515,41780,58166,7480,21785,9728,31246,38912,48924,64005,24066,33312
10027,44340,61750,10808,26905,12544,16142,30464,46108,6918,17666,33568
14891,52788,4919,20024,29721,9728,9998,26624,56092,59909,24834,30752
14379,54068,5175,20024,32793,10752,7950,36608,54556,59909,24322,19488
51754,21044,37686,52023,15897,9728,62989,40960,53276,57861,20994,34592
36906,3892,20790,34359,6681,9728,54541,42240,48924,57349,25602,23840
8235,50484,3127,17976,33049,9984,50445,49408,48924,50949,28674,26400
10283,52788,5175,20024,34329,10240,46861,42240,47644,52485,29698,34080
65322,40756,57910,7736,29465,10240,35085,42496,52764,52997,23042,35616
50474,21556,38966,53815,17177,9472,47885,43264,51740,49925,20994,33312
2347,43828,62262,12088,30233,13824,49933,40704,39196,51205,23298,41504
6699,49972,1847,17976,31513,10496,47373,40448,52508,50181,28418,45344
39466,9524,27190,42807,8729,9472,50701,37888,54300,56581,19458,42784
60202,35636,53046,3640,23321,9984,53517,44544,53788,59397,22786,32288
36650,8244,24630,40247,6169,10496,59917,49920,47900,65285,16130,36896
36650,9268,26422,41783,5401,10752,54797,46080,43548,57861,18946,26912
41258,15412,32310,47671,9753,10496,58637,44288,48412,64517,22018,38688
58410,38708,56118,7224,19993,10240,64781,49664,53532,64261,22274,31776
55850,34356,52534,3384,15641,13056,2830,44288,29,6,29442,32288
1067,49460,2359,19256,24601,9984,63501,46080,4637,774,28418,30240
1579,49972,2615,19768,26393,10752,2830,49664,64540,65029,25858,33568
60970,42548,59958,11064,20505,11008,7694,50944,3613,1030,27906,32032
49706,27188,44854,62519,13337,13312,1806,57344,5661,4358,26370,26400
35626,10036,26166,42807,3609,10240,54797,47616,8221,60165,36354,31520
2347,50484,2871,20024,28441,11008,47373,47104,65308,2310,33026,37664
64810,47668,311,18232,25369,9728,51981,58112,29,56325,32514,40992
