sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
20779,23857,54067,22327,8476,9728,57095,45590,39190,34053,6914,27936
38443,43057,5172,43319,19740,9984,52743,44566,28438,55813,50689,39456
33323,36913,1588,36919,12060,11520,55815,44566,19734,37637,55809,4897
45099,49713,15156,51767,20252,10240,44039,49942,16918,51205,7682,56864
19243,21297,48691,19511,62235,10496,45063,49430,23830,41477,12034,39968
22571,25137,52019,24631,1564,9728,60679,45078,28438,35333,2306,31520
13355,10801,36659,9271,57627,10240,62471,37910,32022,48133,62721,44064
35627,35377,62771,35895,5916,10240,64519,47382,29206,43525,258,50208
10027,64048,27955,64310,52507,9728,15624,45078,18710,40709,770,43296
19499,6961,34099,4407,51739,10496,12040,43798,16150,29445,10498,33312
38955,30769,56115,28215,1052,10496,17160,40214,14870,37381,60929,26400
5163,58416,17715,53814,44315,10496,12552,34070,19478,46085,60161,33312
41259,36913,62003,35639,9756,10496,11784,27926,19222,34309,56833,38944
43307,36145,564,38967,7964,10240,13832,22806,15894,35589,57345,37152
38443,28209,58675,30007,4124,9728,6152,16406,15894,36357,59905,28448
23339,12337,42547,13111,58139,9728,776,12054,22038,39429,54273,22304
40235,37681,52,37687,11036,10752,62983,12054,24598,44549,55809,25376
15915,4657,30771,3383,56347,9728,58631,13590,11542,37893,49409,34848
35883,26929,54067,26167,5660,13568,55047,12054,63253,27141,46337,47136
47659,36145,62515,37431,16412,10752,52999,26134,61461,28421,46337,34336
15403,62512,21043,61750,55579,9216,52231,23574,13334,27653,53249,37152
45355,27697,48947,24887,7964,12288,42247,11030,6422,18949,54017,40736
24619,64304,23091,60726,56091,9728,43783,8726,55317,12293,57601,24096
26923,3633,26163,61750,55835,10752,37383,54037,43285,55556,60929,41248
54059,34609,57651,28727,12572,10496,50183,62485,33045,59908,52993,56864
37419,15921,38451,7223,64027,10240,38663,5654,52245,14341,39937,56608
61227,41777,64307,33847,20252,10496,19719,60693,65301,6405,43265,48416
