sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
21045,8497,60982,13881,5403,9472,520,11522,1055,60418,24833,57376
32565,20529,7223,25913,11803,10752,3848,10754,64542,63234,22529,1057
6709,61488,46390,63800,60954,9984,2568,4866,59678,61442,24833,59424
27957,17201,2359,21305,7451,10240,65287,11522,31,56322,18689,54048
31285,19249,5943,24633,8219,10496,61191,7682,2079,61698,27393,63264
19765,8753,59702,12345,1563,10496,65031,9218,54302,3587,19969,3361
37429,25905,11831,31033,13851,11520,4616,9218,58398,63490,19713,63008
10805,65072,50998,3129,62490,13312,8456,10242,50206,61186,11521,289
22581,10545,62774,15417,4123,13056,6920,6658,56094,65026,7681,61216
56628,46128,30262,47160,51738,9472,3848,3586,59934,60162,12289,58400
17973,6705,58422,10553,2331,10496,1544,5890,52766,54530,15105,289
20277,7473,60982,13113,1819,8960,6408,10754,51998,56578,16129,56096
31541,25137,6199,24633,13339,13824,8712,3330,51998,54274,20481,57888
47925,33585,23351,42553,18971,10496,6920,9730,42782,63746,15617,60192
10549,63280,50230,2873,64026,9728,8456,5890,47902,55554,7937,63008
33333,20529,8759,26937,11803,10240,4104,64001,51998,57090,4097,55840
15413,2865,55606,7737,3867,10240,5128,12802,47902,62978,8193,63520
30773,15665,5431,23609,10267,11008,9736,65025,51998,62210,11265,58144
19509,6193,59446,11833,4891,9984,12808,3586,45342,58626,16897,54304
21557,8497,61750,13881,5915,10752,8200,5890,51486,60674,4353,56608
20277,5681,60214,13113,4123,9728,17416,10754,50974,64258,7425,58400
5429,57136,44086,62008,60698,10496,14088,5122,49950,64258,12289,58912
52021,35889,26935,46905,23067,9984,21512,4610,45598,515,1793,2081
60980,48432,34102,51512,55834,9984,11016,9730,59678,58882,10241,55840
2357,54832,41014,58936,63258,10752,21512,2562,43550,5891,7169,61216
29493,13617,3383,22841,12315,9472,18952,1794,44062,64258,7937,57120
14133,305,53046,5689,3611,10496,24328,7938,46622,3,8193,54048
16181,1073,55606,8249,4891,9472,26888,770,51486,60930,10497,54816
309,50480,38710,56376,62490,9984,23560,1282,46622,62210,513,55072
38709,23345,12599,31289,19227,11776,32264,8706,45086,62978,64256,56864
31029,15409,5175,23609,12059,10240,30984,9986,47646,4611,5633,52512
54325,37681,28983,48185,25883,10496,34312,9218,48670,56834,65280,51488
